Doctorate,Masters,Bachelors,Diploma,Certificate
Doctor of Philosophy in Environmental Science,Master of Science in Animal Science,Bachelor of Science in Animal Science with IT,Diploma in French (Several Levels),Certificate in Theology
Doctor of Philosophy in Agricultural Extension,Master of Science in Agricultural Economics,Bachelor of Science (Environmental Science with IT),Diploma in Public Relations,Certificate in Religion
Doctor of Philosophy in Agribusiness Management,Master of Science in Agricultural Extension,Bachelor of Science in Agricultural Education and Extension (with IT),"Dipoloma in Theology, Religion",Certificate in Journalism & Mass Media
Doctor of Philosophy in Agricultural Economics,Master of Science in Soil Science,Bachelor of Science in Agribusiness Management (with IT),Diploma in Journalism & Mass Media,Certificate in Social Work
Doctor of Philosophy in Soil Science,Master of Science in Agri-Business Management,Bachelor of Science in Agricultural Economics (with IT),Diploma in Social Work,Certificate in Public Relations
Doctor of Philosophy in Horticulture,Master of Science in Agronomy,Bachelor of Science in Soil Science and Plant Nutrition with IT,Diploma in Literature,Certificate in Theatre Development
Doctor of Philosophy in Genetics and Plant Breeding,Master of Science in Genetics and Plant Breeding,Bachelor of Science with IT,Diploma in Conflict Resolution,Certificate in French (Several Levels)
Doctor of Philosophy in Agronomy,Master of Science in Urban Environmental Planning and Management,Bachelor of Science in Fisheries and Aquaculture with IT,Diploma in Peace building,Certificate in Business Administration
Doctor of Philosophy in Animal Science,Master of Science in Environmental Sciences,Bachelor of Science in Aquatic Resource Conservation and Management with IT,Diploma in Film & Theatre Studies,Certificate in Micro Economics
Doctor of Philosophy in Fine Art,Master of Arts in Fine Art,Bachelor of Arts in Disaster Management with IT,Diploma in Business Administration,Certificate in Macro Economics
Doctor of Philosophy in Interior Design,Master of Arts in Interior Design,Bachelor of Science in Geospatial Information Science with IT,Diploma in Small Enterprise Finance,Certificate in Small Enterprise Finance
Doctor of Philosophy in Linguistics,Master of Arts in Linguistics,Bachelor of Science in Horticulture with IT,Diploma in Management,Certificate in Management
Doctor of Philosophy in Kiswahili,Master of Arts in Theoretical Linguistics,Bachelor of Science in Agronomy with IT,Diploma in Purchasing & Supply Management,Certificate in Enterprise Development & Management
Doctor of Philosophy in Mass Communication,Master of Arts in Applied Linguistics,Bachelor of Science in Agricultural Economics and Rural Development with IT,Diploma in Sales and Marketing,Certificate in e-Commerce & e-Business Systems
Doctor of Philosophy in Literature,Master of Arts in Kiswahili Studies,Bachelor of Science in Earth Sciences with IT,Diploma in Human Resource Management,Certificate in Entrepreneurship
Doctor of Philosophy in Sociology,Masters in Communication and Media,Bachelor of Arts (Music) with IT and Bachelor of Arts (Drama and Theatre Studies) with IT,Diploma in Management of Transport Systems,Certificate in Sales and Marketing
