Category,Detail,Additional Info
Program Information,Doctorate,Doctor of Philosophy in Environmental Science
Program Information,Doctorate,Doctor of Philosophy in Agricultural Extension
Program Information,Doctorate,Doctor of Philosophy in Agribusiness Management
Program Information,Doctorate,Doctor of Philosophy in Agricultural Economics
Program Information,Doctorate,Doctor of Philosophy in Soil Science
Program Information,Doctorate,Doctor of Philosophy in Horticulture
Program Information,Doctorate,Doctor of Philosophy in Genetics and Plant Breeding
Program Information,Doctorate,Doctor of Philosophy in Agronomy
Program Information,Doctorate,Doctor of Philosophy in Animal Science
Program Information,Doctorate,Doctor of Philosophy in Fine Art
Program Information,Doctorate,Doctor of Philosophy in Interior Design
Program Information,Doctorate,Doctor of Philosophy in Linguistics
Program Information,Doctorate,Doctor of Philosophy in Kiswahili
Program Information,Doctorate,Doctor of Philosophy in Mass Communication
Program Information,Doctorate,Doctor of Philosophy in Literature
Program Information,Doctorate,Doctor of Philosophy in Sociology
Program Information,Doctorate,Doctor of Philosophy in Anthropology
Program Information,Doctorate,Doctor of Philosophy in Counselling Psychology
Program Information,Doctorate,Doctor of Philosophy in French
Program Information,Doctorate,Doctor of Philosophy in Religion
Program Information,Doctorate,Doctor of Philosophy in Philosophy
Program Information,Doctorate,Doctor of Philosophy in Geography
Program Information,Doctorate,Doctor of Philosophy in Textile and Fashion Design
Program Information,Doctorate,Doctor of Philosophy in Communication and Media Studies
Program Information,Doctorate,Doctor of Philosophy in Theology
Program Information,Doctorate,Doctor of Philosophy in History
Program Information,Doctorate,Doctor of Philosophy in Music
Program Information,Doctorate,Doctor of Philosophy in French Studies
Program Information,Doctorate,Doctor of Philosophy in Design
Program Information,Doctorate,Doctor of Philosophy in Accounting
Program Information,Doctorate,Doctor of Philosophy in Finance
Program Information,Doctorate,Doctor of Philosophy in Tourism Management
Program Information,Doctorate,Doctor of Philosophy in Hospitality Management
Program Information,Doctorate,Doctor of Philosophy in Economics
Program Information,Doctorate,Doctor of Philosophy in Management Information Systems
Program Information,Doctorate,Doctor of Philosophy in Operations Management
Program Information,Doctorate,Doctor of Philosophy in Procurement and Supply Chain Management
Program Information,Doctorate,Doctor of Philosophy in Business Administration
Program Information,Doctorate,Doctor of Philosophy in Economics
Program Information,Doctorate,Doctor of Philosophy in Strategic Management
Program Information,Doctorate,Doctor of Philosophy in Marketing
Program Information,Doctorate,Doctor of Philosophy in Human Resource Management
Program Information,Doctorate,Doctor of Philosophy in Accounting
Program Information,Doctorate,Doctor of Philosophy in Finance
Program Information,Doctorate,Doctor of Philosophy in Tourism Management
Program Information,Doctorate,Doctor of Philosophy in Hospitality Management
Program Information,Doctorate,Doctor of Philosophy in Economics
Program Information,Doctorate,Doctor of Philosophy in Management Information Systems
Program Information,Doctorate,Doctor of Philosophy in Operations Management
Program Information,Doctorate,Doctor of Philosophy in Procurement and Supply Chain Management
Program Information,Doctorate,Doctor of Philosophy in Business Administration
Program Information,Doctorate,Doctor of Philosophy in Economics
Program Information,Doctorate,Doctor of Philosophy in Strategic Management
Program Information,Doctorate,Doctor of Philosophy in Marketing
Program Information,Doctorate,Doctor of Philosophy in Human Resource Management
Program Information,Doctorate,Doctor of Philosophy in Curriculum Studies
Program Information,Doctorate,Doctor of Philosophy in Educational Technology
Program Information,Doctorate,Doctor of Philosophy in Pedagogy Educational Administration
Program Information,Doctorate,Doctor of Philosophy in Educational Psychology
Program Information,Doctorate,Doctor of Philosophy in Guidance and Counselling
Program Information,Doctorate,Doctor of Philosophy in Planning and Economics of Education
Program Information,Doctorate,Doctor of Philosophy in Special Needs Education
Program Information,Doctorate,Doctor of Philosophy in Educational Administration
Program Information,Doctorate,Doctor of Philosophy in Planning and Economics of Education
Program Information,Doctorate,Doctor of Philosophy in Political Science
Program Information,Doctorate,Doctor of Philosophy in International Relations
Program Information,Doctorate,Doctor of Philosophy in Development Studies
Program Information,Doctorate,Doctor of Philosophy in Entrepreneurship and Development
Program Information,Doctorate,Doctor of Philosophy in Gender Studies
Program Information,Doctorate,Doctor of Philosophy in Gender and Development
Program Information,Doctorate,Doctor of Philosophy in Planning
Program Information,Doctorate,Doctor of Philosophy in Biomedical Sciences
Program Information,Doctorate,Doctor of Philosophy in Community Nutrition and Development
Program Information,Doctorate,Doctor of Philosophy in Public Health Nutrition
Program Information,Doctorate,Doctor of Philosophy in Public Health
Program Information,Doctorate,Doctor of Philosophy in Medical Entomology and Vector Science
Program Information,Doctorate,Doctor of Philosophy in Pharmacology
Program Information,Doctorate,Doctor of Philosophy in Medical Parasitology
Program Information,Doctorate,Doctor of Philosophy in Medical Microbiology
Program Information,Doctorate,Doctor of Philosophy in Medical Immunology
Program Information,Doctorate,Doctor of Philosophy in Medical Genetics
Program Information,Doctorate,Doctor of Philosophy in Computational Biology and Bioinformatics
Program Information,Doctorate,Doctor of Philosophy in Medical Biotechnology
Program Information,Doctorate,Doctor of Philosophy in Chemistry
Program Information,Doctorate,Doctor of Philosophy in Physics
Program Information,Doctorate,Doctor of Philosophy in Botany
Program Information,Doctorate,Doctor of Philosophy in Aquatic Sciences
Program Information,Doctorate,Doctor of Philosophy in Cell and Molecular Biology
Program Information,Doctorate,Doctor of Philosophy in Conservation Biology
Program Information,Doctorate,Doctor of Philosophy in Molecular Microbiology and Biotechnology
Program Information,Doctorate,Doctor of Philosophy in Parasitology and Vector Biology
Program Information,Doctorate,Doctor of Philosophy in Entomology
