Category,Detail,Additional Info
Application Procedure,DOWNLOAD & PRINT application forms,"OBTAIN application forms from the Office of the Registrar, Academic Affairs, the Office of the Director Kisumu Campus, or the Office of the Coordinator. Upon payment of a non-refundable Application Fee of Ksh. 2,000/= at the banks indicated, completed Application Forms will be submitted alongside the bank deposit slips to the Office of the Registrar, Academic Affairs, the Office of the Director, Kisumu Campus. If applying online, applicants will be required to upload a scan of the bank deposit slip for the application fee."
Bank Details,Main Campus,"Equity Bank, Luanda Branch A/C Number 1120297065141"
Bank Details,Kisumu Campus,"Kenya Commercial Bank: Acc. No. 1101561076, Kisumu"
Download Link,Application Forms For Certificate /Diploma,"Postgraduate Referee Forms, Application Form For Undergraduate, Application Form For Postgraduate"
Maseno in Brief,Maseno University founded in 1991,"It is the only university on the globe that lies along the Equator (00). It is one of the original seven universities in Kenya. It has a number of campuses namely; Main Campus situated in Maseno Township along Kisumu-Busia road, 25 km from Kisumu City and approximately 400 km west of Nairobi the capital city of Kenya, Kisumu Campus, Odera Akang'o in Siaya County and the eCampus."
General Information,Vision,The University of Excellence in discovery and dissemination of knowledge.
General Information,Mission,"To discover, harness, apply, disseminate and preserve knowledge for good of humanity."
General Information,Quality Policy Statement,"Maseno University is committed to quality through teaching, research and development, providing timely services to foster and develop academic excellence in basic and applied research at all levels of study by training practice oriented manpower, who can contribute effectively to social, intellectual and academic development."
University Management,Vice Chancellor,"Prof. Julius O. Nyabundi, OGW BSc.(UoN), MSc.(UoN), Ph.D.(California, Davis), Vice- Chancellor Maseno University"
University Management,"Deputy Vice Chancellor Administration, Finance & Development",Prof. Catherine A. Muhoma
University Management,Deputy Vice Chancellor Academic & Student Affairs,Prof. Mary J. Kipsat
University Management,"Deputy Vice Chancellor Partnership, Research & Innovation",Prof. Joseph S. Chacha
University Management,FINANCE OFFICER,"Mr. Joseph W Omondi, BBA.(KEMU), MBA (UoN), CPA(K)"
University Management,LEGAL OFFICER,"Ms. Joy A. Akinyi, LLB (Moi), PGD (KSL), Dip (KIM), MBA(UoN)"
University Council,Chairman of Council,"Prof N. Omolo Ongati, PhD (Mathematics), University of Pretoria, South Africa"
University Council,Vice- Chancellor Maseno University,"Prof. Julius O. Nyabundi, OGW BSc.(UoN), MSc.(UoN), Ph.D.(California, Davis)"
University Council,Member of Council,"Ponyochi Kunyobo, MBA -London Metropolitan University, BCOM (Accounting) -University of Nairobi"
University Council,Member of Council,"Dr. Matilda Chemutai Sang, Doctor Of Philosophy, PhD, Business Administration (Entrepreneurship) Kabarak University, Master Of Business Administration, Entrepreneurship Kenyatta University"
University Council,Member of Council,"Darius G. Isaboke, Master of Arts in Development Studies, University of Nairobi, Bachelor of Education (Arts), Catholic University of Eastern Africa (CUEA), Monitoring and Evaluation, Carleton University Canada, Ottawa, Canada"
URL,Maseno in Brief,https://www.maseno.ac.ke/maseno-brief
URL,General Information,https://www.maseno.ac.ke/maseno-general-information
URL,University Management,https://www.maseno.ac.ke/university-staff
URL,University Council,https://www.maseno.ac.ke/maseno-university-council
Download Link,Application Forms,https://www.maseno.ac.ke/application-forms
Fee Structure,Fee Structure,https://www.maseno.ac.ke/fee-structure
Joining Instructions,Joining Instructions,https://www.maseno.ac.ke/joining-instructions
Contact Information,Contact Info,"Private Bag, Maseno, Kenya. Mobile: 0722-203411. Tel: +254 - 57 - 351620/2. info@maseno.ac.ke"
Contact Information,Additional Contact Info,Maseno University. (+254) 722 314 765. info@maseno.ac.ke
Student Portal,Student Portal,https://student.maseno.ac.ke/
Staff Portal,Staff Portal,https://staff.maseno.ac.ke/
Homepage,Homepage,https://www.maseno.ac.ke/
Joining Instructions,Details,"STUDENTS JOINING INSTRUCTIONS, ADMISSION LETTER KUCCPS LETTER, ADMISSION PARCEL, GENERAL INFORMATION TO NEW STUDENTS, OTHER REQUIREMENTS FOR 1ST BSC. (PUBLIC HEALTH, WITH IT), OTHER REQUIREMENTS FOR 1ST YEAR ECOTOURISM, OTHER REQUIREMENTS FOR BSC. NURSING, OTHER REQUIREMENTS FOR SCHOOL OF MEDICINE AND PHARMACY, STUDENTS ACCEPTANCE FORM, STUDENTS DECLARATION FORM, STUDENTS EMERGENCY OPERATION FORM, STUDENTS MEDICAL EXAMINATION FORM, STUDENTS PERSONAL DEPTAILS FORM"
Schools,School of Education,https://soe.maseno.ac.ke/
Schools,School of Medicine,https://medicine.maseno.ac.ke/
Schools,School of Pharmacy,https://sop.maseno.ac.ke/
Schools,School of Mathematics,https://smsas.maseno.ac.ke/
Schools,School of Development and Strategic Studies,https://sdss.maseno.ac.ke/
Schools,School of Nursing,https://son.maseno.ac.ke/
Schools,School of Computing and Informatics,https://sci.maseno.ac.ke/
Schools,School of Public Health,http://publichealth.maseno.ac.ke/
Schools,School of Business,https://sbe.maseno.ac.ke/
Schools,School of Arts and Social Sciences,https://sass.maseno.ac.ke/
Schools,School of Agriculture and Food Security,https://safs.maseno.ac.ke/
Schools,School of Physical and Biological Sciences,https://sbps.maseno.ac.ke/
Program Types,Doctorate Programmes,Doctorate Programmes
Program Types,Diploma Programmes,Diploma Programmes
Program Types,Masters Programmes,Masters Programmes
Program Types,Certificate Programmes,Certificate Programmes
Program Types,Bachelor Programmes,Bachelor Programmes
